mean_skewness,mean_kurtosis,pca_components_95_var,max_categories,mean_categories,mean_entropy,correlation,confidence,support,value_below_thres,prop_below_thres,target
0.37224622079352176,-0.07645867761422304,4,20,9.666666666666666,1.3666318101786024,9.781173840667321,0.7172413793103448,104.0,0.5914922109175502,0.5166666666666667,0.09171913883388316
0.24426777233163757,-0.25185878307806475,4,18,9.333333333333334,1.3532935380504973,10.016211713548932,0.6928571428571428,97.0,0.5586480536192775,0.5333333333333333,0.14400313001316634
0.3408112724466428,0.10953939033379034,4,19,9.666666666666666,1.3857725246439188,4.288616906107819,0.6513157894736842,99.0,0.495286453019241,0.49333333333333335,0.19872959223879594
0.3670620293504949,-0.030780116381251,4,18,8.5,1.3522603615408777,0.03223389446299637,0.623221906116643,93.5,0.5719018156924356,0.49333333333333335,0.04034174422903214
0.2519470879754614,-0.038133881400542524,4,17,9.166666666666666,1.3849631148679362,3.9121120712152964,0.673469387755102,99.0,0.5392318507749703,0.51,0.16829697826777357
0.3796765250482096,-0.30667125105804593,4,20,9.5,1.3563870746170166,1.6141037573581678,0.6903225806451613,107.0,0.6168836860821298,0.48333333333333334,0.02401237659522537
0.26294026866125897,-0.1781807808771475,4,18,9.666666666666666,1.37735823626993,6.339569215754175,0.6535947712418301,100.0,0.3784680457835977,0.49,0.3288423359763598
0.2683351938338641,-0.1248230227681959,4,19,9.5,1.3628365726838865,0.1519414707511318,0.620253164556962,98.0,0.5294055112255482,0.5266666666666666,0.2036596944686263
0.4032671859983292,0.195977482066779,4,20,9.666666666666666,1.352978338943527,2.7630572552447554,0.6089743589743589,95.0,0.40991234895483547,0.48,0.20087401692159784
0.40201030574067903,0.34378828041785703,4,17,9.0,1.3222843213384154,11.370095319735704,0.7101449275362319,98.0,0.5256874181567881,0.54,0.2178715863194215
0.4919521893202591,0.11100111018508152,4,16,8.833333333333334,1.38015599696761,5.778901367261776,0.628067173922831,93.0,0.4489976806679671,0.5566666666666666,0.21957682913466958
0.30205007074782414,-0.0935821714003745,4,20,9.666666666666666,1.3879429597045672,2.997253187840382,0.6428571428571429,90.0,0.5533406887441638,0.5333333333333333,0.10900778497973651
0.2904496017273778,-0.046772162141616724,4,18,9.0,1.3651811363746775,3.59753962855532,0.0,0.0,0.5147216249180241,0.54,0.047428201919875734
0.45164414976947803,0.1362764997604634,4,22,9.666666666666666,1.326573904208818,1.806956138140666,0.0,0.0,0.5181913606325681,0.5133333333333333,0.07304009414257895
0.3364092426083002,-0.05622391381977199,4,20,9.333333333333334,1.3269822484391085,0.6217401006345322,0.5864197530864198,95.0,0.5501283280388739,0.54,0.0758346416830673
0.23396713235929592,-0.3162481012833642,4,18,9.333333333333334,1.3569795914889833,5.568229644515572,0.6861313868613139,94.0,0.5161215433913371,0.5433333333333333,0.13660345915472816
0.5308111476835506,0.3959088265560352,4,19,9.5,1.3715414541951354,8.88054946537008,0.6458333333333334,93.0,0.45963470690428315,0.52,0.1553095864296053
0.5974535157352805,0.4454701865123136,4,19,9.333333333333334,1.3634109145746276,13.633263437950935,0.6736111111111112,97.0,0.48592120430619457,0.52,0.16479071368578935
